id,cleaned_name
5567cd4773696439b10b0000,information technology & services
5567cd4773696439dd350000,construction
5567cd467369644d39040000,marketing & advertising
5567cd477369645401010000,real estate
5567cddb7369644d250c0000,"health, wellness & fitness"
5567cdd47369643dbf260000,management consulting
5567cd4e7369643b70010000,computer software
5567cd4d736964397e020000,internet
5567ced173696450cb580000,retail
5567cdd67369643e64020000,financial services
5567d1127261697f2b1d0000,consumer services
5567cdde73696439812c0000,hospital & health care
5567cdf27369644cfd800000,automotive
5567e0e0736964198de70700,restaurants
5567ce9e736964540d540000,education management
5567ce1e7369643b806a0000,food & beverages
5567cdbc73696439d90b0000,design
5567ce9d7369643bc19c0000,hospitality
5567ce1f7369643b78570000,accounting
5567cd8e7369645409450000,events services
5567cd4773696454303a0000,nonprofit organization management
5567cdd37369643b80510000,entertainment
5567cd4c73696439c9030000,electrical/electronic manufacturing
5567cdd87369643bc12f0000,"leisure, travel & tourism"
5567cd49736964541d010000,professional training & coaching
5567cd4e7369644cf93b0000,transportation/trucking/railroad
5567ce1f7369644d391c0000,law practice
5567cd82736964540d0b0000,apparel & fashion
5567cdb77369645401080000,architecture & planning
5567ce2673696453d95c0000,mechanical or industrial engineering
5567cdd973696453d93f0000,insurance
5567cd4c7369644d39080000,telecommunications
5567e0e37369640e5ac10c00,human resources
5567e09973696410db020800,staffing & recruiting
5567ce227369644eed290000,sports
5567ce2d7369644d25250000,legal services
5567cdd97369645624020000,oil & energy
5567e0ea7369640d2ba31600,media production
5567cd4973696439d53c0000,machinery
5567d01e73696457ee100000,wholesale
5567ce987369643b789e0000,consumer goods
5567cd4f736964540d050000,music
5567cd4f7369644cfd250000,photography
5567d0467369645dbc200000,medical practice
5567e1ae73696423dc040000,cosmetics
5567ce5b736964540d280000,environmental services
5567cd4d73696439d9040000,graphic design
5567e0fa73696410e4c51200,business supplies & equipment
5567cd49736964540d020000,renewables & environment
5567ce9c7369643bc9980000,facilities services
5567ce5b73696439a17a0000,publishing
5567e1b3736964208b280000,food production
5567cd4d73696439d9030000,arts & crafts
5567e1a17369641ea9d30100,building materials
5567e13a73696418756e0200,civil engineering
5567e0f27369640e5aed0c00,religious institutions
5567ce5973696453d9780000,public relations & communications
5567cd4c73696453e1300000,higher education
5567cd4d7369644d513e0000,printing
5567cede73696440d0040000,furniture
5567e3f3736964395d7a0000,mining & metals
5567cd4973696439b9010000,logistics & supply chain
5567e09f736964160ebb0100,research
5567e0eb73696410e4bd1200,pharmaceuticals
5567d02b7369645d8b140000,individual & family services
5567e1b97369641ea9690200,medical devices
5567cdda7369644eed130000,civic & social organization
5567e19c7369641c48e70100,e-learning
5567e19b7369641ead740000,security & investigations
5567e21e73696426a1030000,chemicals
