id,cleaned_name
57b27e71122e5a5424ce9910,"Bloomington, Indiana"
57b27fcdf3e5bb59919c73af,"Bloomington, Illinois"
57b27fccf3e5bb5995d64341,"Blumenau, Brazil"
57b27fcef3e5bb59919c73c9,"Blekinge County, Sweden"
57b27fcff3e5bb598de8631e,"Bloemfontein, South Africa"
57b27fd2f3e5bb59a5a03888,"Blue Bell, Pennsylvania"
57b27fdcf3e5bb59893e451c,"Blackpool, United Kingdom"
57b27fcef3e5bb59acf12995,"Bluffton, South Carolina"
57b27fe2f3e5bb59998f4b86,"Blois, France"
57b2807ef3e5bb631851c240,"Bloomfield Hills, Michigan"
57b27fd8f3e5bb59b52adeef,"Blagoveshchensk, Russia"
57b27fd7f3e5bb59b52adee6,"Bloomfield, New Jersey"
57b27fdbf3e5bb59919c750b,"Bloomingdale, Illinois"
57b28076f3e5bb631ca49378,"Blagnac, France"
57b27fedf3e5bb59a5a03a52,"Blackburn, United Kingdom"
57b27fd3f3e5bb59acf12a32,"Blue Springs, Missouri"
57b2806cf3e5bb63318717ca,"Blue Island, Illinois"
57b2807df3e5bb631ca493d1,"Black Hawk, Colorado"
57b27fd0f3e5bb5995d643d0,"Blansko, Czech Republic"
57b27fedf3e5bb59893e463a,"Bloomfield, Connecticut"
57b28073f3e5bb63149ee9f4,"Blackfoot, Idaho"
57b27fe0f3e5bb59998f4b73,"Bloomsburg, Pennsylvania"
57b2810df3e5bb631ca49800,"Bluefield, West Virginia"
57b280b1f3e5bb63149eec75,"Blaubeuren, Germany"
57b280c3f3e5bb6325a8ceb3,"Blankenfelde-Mahlow, Germany"
57b280d5f3e5bb6325a8cf1d,"Blacktown, Australia"
57b27fccf3e5bb59919c73a0,"Blythewood, South Carolina"
57b27ff1f3e5bb59998f4c83,"Blytheville, Arkansas"
57b28111f3e5bb6321204a9b,"Blair, Nebraska"
57b27fe3f3e5bb59919c7591,"Bluffton, Indiana"
57b281a2f3e5bb634182b1b8,"Black River Falls, Wisconsin"
57b27fccf3e5bb5995d64353,"Blairsville, Georgia"
57b28097f3e5bb6339575d79,"Blomberg, Germany"
57b28124f3e5bb631851c6ab,"Blountville, Tennessee"
57b28281f3e5bb631ca49da4,"Blaufelden, Germany"
57b28086f3e5bb63149eeacc,"Blauvelt, New York"
57b280c9f3e5bb63149eed1b,"Blackmore End, United Kingdom"
57b27fe6f3e5bb59b52ae012,"Bletchingley, United Kingdom"
57b2823df3e5bb63149ef483,"Bluemont, Virginia"
57b281d2f3e5bb633957643d,"Bloomsbury, New Jersey"
